,container,first_date,first_location,first_status,last_date,last_location,last_status
1455,HLBU2078492,2019-04-15 13:38:00,SANTIAGO DE CHILE,Gate out empty,2019-04-26 10:00:00,CALLAO,Vessel arrival
1456,UACU4117651,2019-04-13 15:54:00,VALPARAISO,Gate out empty,2019-05-18 00:00:00,MOERDIJK,Arrival in
1457,UACU5757571,2019-04-09 11:35:00,VALPARAISO,Gate out empty,2019-05-29 18:00:00,RIGA,Vessel arrival
1458,HLBU2117011,2019-04-09 14:33:00,SANTIAGO DE CHILE,Gate out empty,2019-04-27 00:00:00,GUAYAQUIL,Vessel arrival
1459,UACU4804431,2019-04-11 12:27:00,VALPARAISO,Gate out empty,2019-05-26 08:00:00,CHENNAI,Vessel arrival
1460,UACU3963892,2019-04-08 13:45:00,VALPARAISO,Gate out empty,2019-05-21 07:00:00,ROTTERDAM,Vessel arrival
1461,UACU5542320,2019-04-06 17:17:00,VALPARAISO,Gate out empty,2019-05-14 12:00:00,KEELUNG,Vessel arrival
1462,HAMU1271906,2019-04-12 10:30:00,VALPARAISO,Gate out empty,2019-05-29 19:30:00,SINGAPORE,Vessel arrival
1463,HLBU9294997,2019-04-15 19:28:00,VALPARAISO,Gate out empty,2019-05-14 07:00:00,ROTTERDAM,Vessel arrival
1464,TGBU5680190,2019-04-05 17:36:00,VALPARAISO,Gate out empty,2019-05-12 00:00:00,"DUBLIN, IRELAND",Vessel arrival
1465,HLXU1293461,2019-04-13 11:13:00,SANTIAGO DE CHILE,Gate out empty,2019-05-12 19:00:00,SANTOS,Vessel arrival
1466,HLBU1164678,2019-04-08 19:08:00,VALPARAISO,Gate out empty,2019-05-07 07:00:00,ROTTERDAM,Vessel arrival
1467,HLXU8713859,2019-04-13 15:47:00,VALPARAISO,Gate out empty,2019-05-16 05:00:00,LONDON GATEWAY PORT,Vessel arrival
