,carrier,container,elapsed_days,first_date,first_latitude,first_location,first_longitude,first_status,first_status_code,first_vehicle,last_date,last_latitude,last_location,last_longitude,last_status,last_status_code,last_vehicle
270,1,MRKU6479553,44.47291666666667,2019-02-22 21:18:00,31.2253441,"Yangshan, SGH Shengdong Terminal
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 08:39:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
271,1,MSKU0418510,44.52013888888889,2019-02-23 01:11:00,31.2253441,"Yangshan, SGH Shengdong Terminal
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 13:40:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
272,1,MSKU1124059,78.09097222222222,2019-01-20 11:33:00,25.0287816,"Jebel Ali Terminal 2
Jebel Ali, United Arab Emirates",55.1238225,Empty,1,2,2019-04-08 13:44:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
273,1,MRKU2614439,78.08611111111111,2019-01-20 11:35:00,25.0287816,"Jebel Ali Terminal 2
Jebel Ali, United Arab Emirates",55.1238225,Empty,1,2,2019-04-08 13:39:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
274,1,MSKU1563405,60.91875,2019-02-07 15:23:00,35.15792,"Nagoya Off Dock Depot
Nagoya, Aichi, Japan",136.90448,Empty,1,2,2019-04-09 13:26:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
275,1,AXIU1500389,61.15277777777778,2019-02-07 09:45:00,35.15792,"Nagoya Off Dock Depot
Nagoya, Aichi, Japan",136.90448,Empty,1,2,2019-04-09 13:25:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
276,1,MSKU1794702,60.9375,2019-02-07 16:08:00,35.15792,"Nagoya Off Dock Depot
Nagoya, Aichi, Japan",136.90448,Empty,1,2,2019-04-09 14:38:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
277,1,MSKU8366115,61.0375,2019-02-07 13:45:00,35.15792,"Nagoya Off Dock Depot
Nagoya, Aichi, Japan",136.90448,Empty,1,2,2019-04-09 14:39:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
278,1,MSKU8808639,59.763888888888886,2019-02-07 15:19:00,35.15792,"Nagoya Off Dock Depot
Nagoya, Aichi, Japan",136.90448,Empty,1,2,2019-04-08 09:39:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
279,1,PONU7953566,59.800694444444446,2019-02-07 15:33:00,35.15792,"Nagoya Off Dock Depot
Nagoya, Aichi, Japan",136.90448,Empty,1,2,2019-04-08 10:46:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
280,1,MRKU4585957,59.92986111111111,2019-02-07 15:53:00,35.15792,"Nagoya Off Dock Depot
Nagoya, Aichi, Japan",136.90448,Empty,1,2,2019-04-08 14:12:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
281,1,MRKU5129057,66.99791666666667,2019-01-31 09:36:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Empty,1,2,2019-04-08 09:33:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
282,1,MSKU8715623,67.92083333333333,2019-01-30 11:21:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Empty,1,2,2019-04-08 09:27:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
283,1,MIEU0017115,68.89027777777778,2019-01-29 13:26:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Empty,1,2,2019-04-08 10:48:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
284,1,MRKU3893261,54.298611111111114,2019-02-13 02:10:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Load,3,1,2019-04-08 09:20:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
285,1,MRKU4888212,54.580555555555556,2019-02-13 02:10:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Load,3,1,2019-04-08 16:06:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
286,1,MRSU0303683,50.519444444444446,2019-02-22 09:46:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 22:14:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
287,1,MRKU8016563,51.084722222222226,2019-02-21 19:13:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 21:15:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
288,1,MSKU7747117,49.86875,2019-02-23 01:32:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 22:23:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
289,1,MRKU6537080,50.46388888888889,2019-02-22 11:50:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 22:58:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
290,1,MSKU3486313,50.135416666666664,2019-02-22 18:35:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 21:50:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
291,1,MRKU8211718,50.4375,2019-02-22 11:16:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 21:46:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
292,1,MRKU7956650,50.47083333333333,2019-02-22 11:53:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 23:11:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
293,1,PONU2074733,50.545138888888886,2019-02-22 12:21:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-14 01:26:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
294,1,MSKU5048846,49.828472222222224,2019-02-23 02:05:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 21:58:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
295,1,MRKU8659929,51.10208333333333,2019-02-21 19:15:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 21:42:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
296,1,MRKU9538963,49.81597222222222,2019-02-23 03:40:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 23:15:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
297,1,MRKU8640899,50.135416666666664,2019-02-22 18:39:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 21:54:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
298,1,MRKU7307883,49.88611111111111,2019-02-23 01:58:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 23:14:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
299,1,TGHU0387108,50.43472222222222,2019-02-22 11:50:00,,"First Container Terminal FCT
St Petersburg FCT, Russia",,Gate in,2,2,2019-04-13 22:16:00,-23.6463741,"Puerto de Antofagasta
Antofagasta, Chile",-70.3980033,Gate out,8,2
300,1,MSKU1094680,61.172222222222224,2019-02-06 09:29:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Empty,1,2,2019-04-08 13:37:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
301,1,MSKU0552746,62.018055555555556,2019-02-05 08:31:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Empty,1,2,2019-04-08 08:57:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
302,1,PONU8143220,43.37013888888889,2019-02-21 07:32:00,29.8622194,"Beilun Container Terminal Phase 3
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-05 16:25:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Discharge,7,1
303,1,MRKU3269677,46.60625,2019-02-20 18:26:00,29.8622194,"Beilun Container Terminal Phase 4
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 08:59:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
304,1,MSKU0825856,46.625,2019-02-20 23:16:00,29.8622194,"Beilun Container Terminal Phase 3
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 14:16:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
305,1,MSKU1731936,47.259027777777774,2019-02-20 07:11:00,29.8622194,"Beilun Container Terminal Phase 4
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 13:24:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
306,1,MRSU3801740,47.65277777777778,2019-02-19 22:38:00,29.8622194,"Beilun Container Terminal Phase 4
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 14:18:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
307,1,MNBU3430251,47.28611111111111,2019-02-20 07:26:00,29.8622194,"Ningbo Xinsanly Reefer-Container
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 14:18:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
308,1,MSWU9081463,46.12777777777778,2019-02-21 06:22:00,29.8622194,"Ningbo Xinsanly Reefer-Container
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 09:26:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
309,1,PONU7434982,47.82361111111111,2019-02-19 17:35:00,29.8622194,"China Merchants Int'l Cntr Tml Co
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 13:21:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
310,1,MVIU0030504,66.14652777777778,2019-02-01 09:48:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Empty,1,2,2019-04-08 13:19:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
311,1,MSKU1603010,66.13819444444445,2019-02-01 13:32:00,34.6932379,"Kobe Rokko Terminal
Kobe, Hyogo, Japan",135.1943764,Empty,1,2,2019-04-08 16:51:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
312,1,MNBU0093141,46.94583333333333,2019-02-20 14:32:00,29.8622194,"NIngbo Beilun Donghwa Cont. Transp.
Ningbo, Zhejiang, China",121.6203873,Empty,1,2,2019-04-08 13:14:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
313,1,MSKU0791360,66.32152777777777,2019-02-01 09:05:00,34.6937569,"Osaka DICT(C-10,11,12)
Osaka, Osaka, Japan",135.5014539,Empty,1,2,2019-04-08 16:48:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
314,1,MRKU5559994,65.03819444444444,2019-02-02 09:05:00,34.6937569,"Osaka DICT(C-10,11,12)
Osaka, Osaka, Japan",135.5014539,Gate in,2,2,2019-04-08 10:00:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
315,1,MSKU0355520,62.321527777777774,2019-02-05 09:12:00,34.6937569,"Osaka DICT(C-10,11,12)
Osaka, Osaka, Japan",135.5014539,Empty,1,2,2019-04-08 16:55:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
316,1,PONU7266826,55.975,2019-02-13 18:39:00,36.0895093,"Smart International Logistics Co
Qingdao, Shandong, China",120.3497193,Empty,1,2,2019-04-10 18:03:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
317,1,MRKU5765510,55.05972222222222,2019-02-15 15:58:00,37.5120997,"Weihai Terminal
Weihai, Shandong, China",122.1152599,Empty,1,2,2019-04-11 17:24:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
318,1,MSKU9781487,51.607638888888886,2019-02-15 19:08:00,36.0895093,"Qingdao Port Co.logistics Branch
Qingdao, Shandong, China",120.3497193,Empty,1,2,2019-04-08 09:43:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
319,1,PONU7257969,51.90416666666667,2019-02-15 18:31:00,36.0895093,"Qingdao Port Co.logistics Branch
Qingdao, Shandong, China",120.3497193,Empty,1,2,2019-04-08 16:13:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
320,1,MSKU0903080,50.95902777777778,2019-02-16 15:05:00,36.8047833,"Zibo Sinotrans depot
Zibo, Shandong, China",118.0444472,Empty,1,2,2019-04-08 14:06:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
321,1,MSKU0127156,50.77777777777778,2019-02-16 15:05:00,36.8047833,"Zibo Sinotrans depot
Zibo, Shandong, China",118.0444472,Empty,1,2,2019-04-08 09:45:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
322,1,MRKU3391284,51.209722222222226,2019-02-16 11:07:00,36.0895093,"Qingdao Port Co.logistics Branch
Qingdao, Shandong, China",120.3497193,Empty,1,2,2019-04-08 16:09:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
323,1,MNBU0093286,47.578472222222224,2019-02-20 00:28:00,39.0449066,"Tianjin Zhenhua Int. Trans. Co. LTD
Xingang, Tianjin, China",117.7407041,Empty,1,2,2019-04-08 14:21:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
