,carrier,container,elapsed_days,first_date,first_latitude,first_location,first_longitude,first_status,first_status_code,first_vehicle,last_date,last_latitude,last_location,last_longitude,last_status,last_status_code,last_vehicle
1459,2,HLXU1344044,53.861805555555556,2019-02-18 16:27:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-13 13:08:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1460,2,TEMU1599352,53.74791666666667,2019-02-18 17:27:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-13 11:24:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1461,2,UACU3283920,52.888888888888886,2019-02-18 16:31:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-12 13:51:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1462,2,UACU3412288,52.71111111111111,2019-02-18 16:26:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-12 09:30:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1463,2,UAEU1252634,31.99375,2019-02-28 16:37:00,51.9228934,ROTTERDAM,4.4631786,Gate out empty,1,2,2019-04-01 16:28:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1464,2,HLXU8356242,36.81180555555556,2019-02-26 18:30:00,53.550341,HAMBURG,10.000654,Gate out empty,1,2,2019-04-04 13:59:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1465,2,CPSU1807474,38.82361111111111,2019-02-21 12:52:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-01 08:38:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1466,2,CPSU1812824,38.81666666666667,2019-02-21 13:03:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-01 08:39:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1467,2,HLXU1260703,38.90277777777778,2019-02-22 10:27:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-02 08:07:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1468,2,HLXU3194869,38.78402777777778,2019-02-21 16:48:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-01 11:37:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1469,2,TEMU2456802,39.80138888888889,2019-02-21 12:56:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-02 08:10:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1470,2,TEMU2810069,37.84166666666667,2019-02-22 13:09:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-01 09:21:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1471,2,UACU3749469,37.81111111111111,2019-02-22 13:10:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-01 08:38:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1472,2,HAMU1176196,39.041666666666664,2019-02-26 09:59:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-06 10:59:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1473,2,HLBU2007462,41.96944444444444,2019-02-25 16:11:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-08 15:27:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1474,2,HLXU8190402,39.85,2019-02-25 16:07:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-06 12:31:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1475,2,HLXU8474667,41.09722222222222,2019-02-26 15:03:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-08 17:23:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1476,2,TGHU9162421,42.21388888888889,2019-02-26 09:57:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-09 15:05:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1477,2,UASU1025471,39.09791666666667,2019-02-26 09:58:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-06 12:19:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1478,2,HLBU9167117,46.730555555555554,2019-02-27 17:15:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-15 10:47:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1479,2,HLXU8727132,48.18402777777778,2019-02-28 14:13:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-17 18:38:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1480,2,HLXU8769483,48.952083333333334,2019-02-28 13:05:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-18 11:56:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1481,2,HLXU8777848,48.07083333333333,2019-02-26 07:09:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-15 08:51:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1482,2,HLXU8788396,50.11666666666667,2019-02-26 06:12:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-17 09:00:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1483,2,LNXU8454139,50.77569444444445,2019-02-25 17:43:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-17 12:20:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1484,2,HLXU8255592,35.00972222222222,2019-03-08 09:48:00,10.4195841,CARTAGENA (COLOMBIA),-75.5271224,Gate out empty,1,2,2019-04-12 10:02:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1485,2,HLXU8298378,45.1875,2019-02-26 14:02:00,10.4195841,CARTAGENA (COLOMBIA),-75.5271224,Gate out empty,1,2,2019-04-12 18:32:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1486,2,HAMU1106028,59.97222222222222,2019-02-15 14:36:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 13:56:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1487,2,HLXU1262096,59.23125,2019-02-16 09:25:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 14:58:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1488,2,HLXU1286631,62.10208333333333,2019-02-13 14:00:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 16:27:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1489,2,HLXU1334051,60.16875,2019-02-15 09:54:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 13:57:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1490,2,HLXU3364142,62.00972222222222,2019-02-13 14:01:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 14:15:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1491,2,HLXU3552371,58.99722222222222,2019-02-15 13:43:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-15 13:39:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1492,2,TEMU1058609,60.03472222222222,2019-02-15 10:43:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 11:33:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1493,2,UACU3728893,59.87708333333333,2019-02-15 13:44:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 10:47:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1494,2,UACU4130503,59.83888888888889,2019-02-15 14:36:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-16 10:44:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1495,2,HLBU9172561,29.977777777777778,2019-02-27 15:43:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 15:11:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1496,2,HLBU9200200,31.008333333333333,2019-02-26 09:15:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 09:27:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1497,2,HLBU9203750,31.002083333333335,2019-02-26 09:47:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 09:50:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1498,2,HLXU8721622,30.010416666666668,2019-02-27 16:23:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 16:38:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1499,2,HLXU8748182,30.897222222222222,2019-02-26 10:40:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 08:12:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1500,2,HLXU8778103,31.006944444444443,2019-02-26 14:16:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 14:26:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1501,2,UACU4728265,31.064583333333335,2019-02-26 12:28:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 14:01:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1502,2,UAEU1238770,49.138888888888886,2019-02-27 17:11:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-17 20:31:00,-12.066667,CALLAO,-77.15,Departure from,8,2
1503,2,UAEU1244747,30.938194444444445,2019-02-26 12:17:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-03-29 10:48:00,-12.066667,CALLAO,-77.15,Discharged,7,1
1504,2,HLXU8025809,21.045833333333334,2019-03-09 13:10:00,10.4195841,CARTAGENA (COLOMBIA),-75.5271224,Gate out empty,1,2,2019-03-30 14:16:00,-12.066667,CALLAO,-77.15,Departure from,8,2
1505,2,HLXU5186461,65.90347222222222,2019-02-04 16:30:00,-25.533816,SAO JOSE DOS PINHAIS,-49.2072163,Gate out empty,1,2,2019-04-11 14:11:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1506,2,UACU8480027,65.91597222222222,2019-02-04 17:24:00,-25.533816,SAO JOSE DOS PINHAIS,-49.2072163,Gate out empty,1,2,2019-04-11 15:23:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1507,2,UACU5606111,37.87916666666667,2019-02-25 14:57:00,48.1949828,UNTERFOEHRING,11.6449481,Gate out empty,1,2,2019-04-04 12:03:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1508,2,HLXU8740860,49.93333333333333,2019-02-13 15:45:00,-25.5121904,PARANAGUA,-48.5251854,Gate out empty,1,2,2019-04-04 14:09:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1509,2,HLXU5168895,49.37361111111111,2019-02-22 07:23:00,48.1949828,UNTERFOEHRING,11.6449481,Gate out empty,1,2,2019-04-12 16:21:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1510,2,HAMU1146843,35.90555555555556,2019-02-25 17:41:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-02 15:25:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1511,2,HLBU8091444,39.3375,2019-02-26 11:51:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-06 19:57:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1512,2,HLBU8091742,36.53194444444444,2019-02-26 12:47:00,51.2211097,ANTWERP,4.3997081,Gate out empty,1,2,2019-04-04 01:33:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1513,2,UACU5687920,64.64861111111111,2019-01-31 18:58:00,-25.5121904,PARANAGUA,-48.5251854,Gate out empty,1,2,2019-04-06 10:32:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1514,2,HAMU1038387,60.97291666666667,2019-02-15 15:24:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-17 14:45:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1515,2,HLBU1108925,60.888888888888886,2019-02-15 17:04:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-17 14:24:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1516,2,HLBU1822594,60.047916666666666,2019-02-16 09:24:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-17 10:33:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1517,2,HLBU1830769,57.858333333333334,2019-02-18 15:48:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-17 12:24:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
