container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
UACU8592789,2,50.43055555555556,2019-02-25 14:33:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-17 00:53:00,Departure from,8,GUAYAQUIL,-2.1898771,-79.8877153,2
UACU8347734,2,48.93680555555556,2019-02-27 17:19:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-17 15:48:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
UACU3579906,2,49.21388888888889,2019-02-19 13:38:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-09 18:46:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLBU9152987,2,14.996527777777779,2019-03-20 19:50:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-04 19:45:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLXU8691554,2,45.670833333333334,2019-02-26 17:54:00,Gate out empty,1,BUENOS AIRES,-34.6075616,-58.437076,2,2019-04-13 10:00:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
UACU5245220,2,44.25486111111111,2019-02-26 12:06:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-11 18:13:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
CLHU4768920,2,25.110416666666666,2019-03-06 10:30:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-03-31 13:09:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLBU1134246,2,25.134722222222223,2019-03-06 10:30:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-03-31 13:44:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU5207348,2,24.927083333333332,2019-03-06 10:32:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-03-31 08:47:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU5346868,2,24.9125,2019-03-06 10:32:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-03-31 08:26:00,Departure from,8,CALLAO,-12.066667,-77.15,2
