container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
HLXU3194391,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU3328546,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU3350529,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU3377094,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU3430943,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU3565039,9,2019-03-22 04:08:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
TGHU2775416,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
UACU3458458,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
UACU3652340,9,2019-03-22 04:08:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
LNXU9659030,5,2019-03-23 16:13:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLBU1142719,10,2019-03-16 12:48:00,VALPARAISO,Gate out empty,2019-04-28 07:00:00,"OAKLAND, CA",Vessel arrival
UACU4776936,5,2019-03-25 16:17:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
CPSU6475752,12,2019-03-22 11:49:00,SANTIAGO DE CHILE,Gate out empty,2019-04-26 00:00:00,"ATLANTA, GA",Arrival in
TEMU6707315,12,2019-03-22 09:36:00,SANTIAGO DE CHILE,Gate out empty,2019-04-26 00:00:00,"ATLANTA, GA",Arrival in
UACU4779344,5,2019-03-22 17:55:00,SAN ANTONIO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
